guid_student_id;guid_assess_id;date_submitted;is_banked;score;assessment_type;date;weight;gender;region;highest_education;imd_band;age_band;num_of_prev_attempts;studied_credits;disability;final_result;status;module;presentation;date_real_days;id_assetcode
4D7A5CBE-DF99-4CC7-B4AF-CF568CACDB94;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
9D40A99B-D248-47D6-9B17-9B3F7FB2027F;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
C778BA42-A984-40C4-8930-6B3C3E64A29A;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
63B1D082-36B3-484C-A887-B58C05542270;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
59F101AE-AAF3-4E3C-BFAC-1A27424D1B6E;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
D0240289-C01A-4747-A1A9-2B3671425574;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
2493F1BC-1A25-483D-94D1-02B444593E21;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
DED7706B-0D0D-40B7-8055-8738D5A8E52E;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
82B1D907-9F15-438D-A945-112CFF77717F;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
62F3EE30-3445-49D7-8A9F-E1A96E3ACB51;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
7D96E4A3-C194-40EB-86A9-188631D600D3;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
D43A7DC0-08C9-4EE3-8E28-1959191D6E9D;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
60106273-33C2-4E51-A62A-7AC742F380D7;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
00C585A2-7098-4ECE-9527-C77E808AF993;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
AA2C2692-7325-4902-9B1D-57697E3D090A;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
EBA9AA54-9762-4973-9C83-E2D59BE4E6F5;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
F1F5CBCD-F979-4FBE-ADA0-C628DD99E63F;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
06E4EFFC-4E03-47BF-8DCB-53A290BD3506;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
220C6049-7282-4E07-98D6-9B530D15AD83;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
3859D2C7-D22F-408C-88BE-4A9C3FF0BEF7;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
1DE54562-7138-4790-92B5-AE156E81EEC5;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
A65162B8-008C-454E-8528-BAAD4281787B;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
03D8FEF0-2F12-47D1-ABBB-1B7571003DE2;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
48C0A556-7910-4BEC-AA73-50D9D53B50A0;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
9A42DE4D-A916-4456-8FF2-6C66131E6150;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
D1465EF8-7762-44D4-8F77-FF4D8E999E48;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
312944FC-5377-4E2A-B38F-970A773FEBDD;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
35C18F02-0E4B-4072-AF6E-AFD05A53C3E0;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
ED11FC23-8FAC-4AD8-ACEE-860014734AF6;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
92D5832E-12F4-4F98-AA56-E05FEA5A8AD4;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
82CD473D-4521-4333-B597-A1002F464D2E;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
05C30D9C-82CF-49B6-A50D-5A338196B5BD;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
F85715A1-E33E-40CC-88CF-18EAB159E62E;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
4A07CB6A-7D5F-4A52-9737-BDB9FD433C7A;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
D3428E0C-B6FC-4BD5-BC9D-71E78412E3CB;354EF785-822A-497B-A6E0-55FE6F9DBE9A;3/28/24 10:03 AM;0;0;TMA;3/4/24 11:03 AM;2;Scotland;;HE Qualification;20-30%;35-55;0;60;N;?;new;EG043;2024J;52;10677
