guid_student_id;guid_site_id;date;sum_clics;type_assign;week_from;weel_to;disability;modulo;week1;week2;days;presentation
9D40A99B-D248-47D6-9B17-9B3F7FB2027F;D381AE00-4DBE-418F-AE81-1C666A09A87C;7;1;forumng;12.02.2024;18.02.2024;N;EG043;2;3;13;2024J
C778BA42-A984-40C4-8930-6B3C3E64A29A;D381AE00-4DBE-418F-AE81-1C666A09A87C;6;1;forumng;05.02.2024;11.02.2024;N;EG043;1;2;6;2024J
59F101AE-AAF3-4E3C-BFAC-1A27424D1B6E;D381AE00-4DBE-418F-AE81-1C666A09A87C;7;1;forumng;12.02.2024;18.02.2024;N;EG043;2;3;13;2024J
D0240289-C01A-4747-A1A9-2B3671425574;D381AE00-4DBE-418F-AE81-1C666A09A87C;8;1;forumng;19.02.2024;25.02.2024;N;EG043;3;4;20;2024J
DED7706B-0D0D-40B7-8055-8738D5A8E52E;D381AE00-4DBE-418F-AE81-1C666A09A87C;6;2;forumng;05.02.2024;11.02.2024;N;EG043;1;2;6;2024J
65A733C6-0F62-4F88-B170-8C79CB91D58F;D381AE00-4DBE-418F-AE81-1C666A09A87C;6;1;forumng;05.02.2024;11.02.2024;N;EG043;1;2;6;2024J
708F5491-C736-4327-A5D6-1CEF828A9865;D381AE00-4DBE-418F-AE81-1C666A09A87C;6;2;forumng;05.02.2024;11.02.2024;N;EG043;1;2;6;2024J
708F5491-C736-4327-A5D6-1CEF828A9865;D381AE00-4DBE-418F-AE81-1C666A09A87C;7;6;forumng;12.02.2024;18.02.2024;N;EG043;2;3;13;2024J
62F3EE30-3445-49D7-8A9F-E1A96E3ACB51;D381AE00-4DBE-418F-AE81-1C666A09A87C;12;1;forumng;18.03.2024;24.03.2024;N;EG043;7;8;48;2024J
00C585A2-7098-4ECE-9527-C77E808AF993;D381AE00-4DBE-418F-AE81-1C666A09A87C;6;1;forumng;05.02.2024;11.02.2024;N;EG043;1;2;6;2024J
220C6049-7282-4E07-98D6-9B530D15AD83;D381AE00-4DBE-418F-AE81-1C666A09A87C;7;3;forumng;12.02.2024;18.02.2024;N;EG043;2;3;13;2024J
3859D2C7-D22F-408C-88BE-4A9C3FF0BEF7;D381AE00-4DBE-418F-AE81-1C666A09A87C;6;2;forumng;05.02.2024;11.02.2024;N;EG043;1;2;6;2024J
3859D2C7-D22F-408C-88BE-4A9C3FF0BEF7;D381AE00-4DBE-418F-AE81-1C666A09A87C;9;1;forumng;26.02.2024;03.03.2024;N;EG043;4;5;27;2024J
3859D2C7-D22F-408C-88BE-4A9C3FF0BEF7;D381AE00-4DBE-418F-AE81-1C666A09A87C;11;1;forumng;11.03.2024;17.03.2024;N;EG043;6;7;41;2024J
1DE54562-7138-4790-92B5-AE156E81EEC5;D381AE00-4DBE-418F-AE81-1C666A09A87C;7;1;forumng;12.02.2024;18.02.2024;N;EG043;2;3;13;2024J
35C18F02-0E4B-4072-AF6E-AFD05A53C3E0;D381AE00-4DBE-418F-AE81-1C666A09A87C;6;1;forumng;05.02.2024;11.02.2024;N;EG043;1;2;6;2024J
35C18F02-0E4B-4072-AF6E-AFD05A53C3E0;D381AE00-4DBE-418F-AE81-1C666A09A87C;7;3;forumng;12.02.2024;18.02.2024;N;EG043;2;3;13;2024J
35C18F02-0E4B-4072-AF6E-AFD05A53C3E0;D381AE00-4DBE-418F-AE81-1C666A09A87C;8;1;forumng;19.02.2024;25.02.2024;N;EG043;3;4;20;2024J
82CD473D-4521-4333-B597-A1002F464D2E;D381AE00-4DBE-418F-AE81-1C666A09A87C;9;1;forumng;26.02.2024;03.03.2024;N;EG043;4;5;27;2024J
05C30D9C-82CF-49B6-A50D-5A338196B5BD;D381AE00-4DBE-418F-AE81-1C666A09A87C;6;1;forumng;05.02.2024;11.02.2024;N;EG043;1;2;6;2024J
F85715A1-E33E-40CC-88CF-18EAB159E62E;D381AE00-4DBE-418F-AE81-1C666A09A87C;6;2;forumng;05.02.2024;11.02.2024;N;EG043;1;2;6;2024J
F85715A1-E33E-40CC-88CF-18EAB159E62E;D381AE00-4DBE-418F-AE81-1C666A09A87C;7;3;forumng;12.02.2024;18.02.2024;N;EG043;2;3;13;2024J
D3428E0C-B6FC-4BD5-BC9D-71E78412E3CB;D381AE00-4DBE-418F-AE81-1C666A09A87C;6;1;forumng;05.02.2024;11.02.2024;N;EG043;1;2;6;2024J
D3428E0C-B6FC-4BD5-BC9D-71E78412E3CB;D381AE00-4DBE-418F-AE81-1C666A09A87C;7;1;forumng;12.02.2024;18.02.2024;N;EG043;2;3;13;2024J
238C9CBE-21EA-44E4-B9C7-49BA453FE530;D381AE00-4DBE-418F-AE81-1C666A09A87C;6;2;forumng;05.02.2024;11.02.2024;N;EG043;1;2;6;2024J
B4B4CB24-7630-423B-AC67-CBFAFC082D89;D381AE00-4DBE-418F-AE81-1C666A09A87C;6;2;forumng;05.02.2024;11.02.2024;N;EG043;1;2;6;2024J
B4B4CB24-7630-423B-AC67-CBFAFC082D89;D381AE00-4DBE-418F-AE81-1C666A09A87C;7;7;forumng;12.02.2024;18.02.2024;N;EG043;2;3;13;2024J
0A602A5F-A186-4BA2-91A2-4AE7A61F7003;D381AE00-4DBE-418F-AE81-1C666A09A87C;6;2;forumng;05.02.2024;11.02.2024;N;EG043;1;2;6;2024J
0A602A5F-A186-4BA2-91A2-4AE7A61F7003;D381AE00-4DBE-418F-AE81-1C666A09A87C;7;1;forumng;12.02.2024;18.02.2024;N;EG043;2;3;13;2024J
0A602A5F-A186-4BA2-91A2-4AE7A61F7003;D381AE00-4DBE-418F-AE81-1C666A09A87C;9;1;forumng;26.02.2024;03.03.2024;N;EG043;4;5;27;2024J
FB48F179-D3F8-43BB-A2A9-B58938F29AD6;D381AE00-4DBE-418F-AE81-1C666A09A87C;7;3;forumng;12.02.2024;18.02.2024;N;EG043;2;3;13;2024J
FB48F179-D3F8-43BB-A2A9-B58938F29AD6;D381AE00-4DBE-418F-AE81-1C666A09A87C;11;1;forumng;11.03.2024;17.03.2024;N;EG043;6;7;41;2024J
26B47304-C87C-48F3-8C24-6400F504C219;D381AE00-4DBE-418F-AE81-1C666A09A87C;6;1;forumng;05.02.2024;11.02.2024;N;EG043;1;2;6;2024J
26B47304-C87C-48F3-8C24-6400F504C219;D381AE00-4DBE-418F-AE81-1C666A09A87C;8;1;forumng;19.02.2024;25.02.2024;N;EG043;3;4;20;2024J
0436FCCC-4576-4EFA-9813-8EEAB773AADD;D381AE00-4DBE-418F-AE81-1C666A09A87C;6;1;forumng;05.02.2024;11.02.2024;N;EG043;1;2;6;2024J
0436FCCC-4576-4EFA-9813-8EEAB773AADD;D381AE00-4DBE-418F-AE81-1C666A09A87C;7;9;forumng;12.02.2024;18.02.2024;N;EG043;2;3;13;2024J
